"geneid","logFC","logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"ENSRNA022742486-T1",0.21665464340779,0.57435979194801,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742512-T1",1.05804837886523,-0.00855408504803574,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742555-T1",-0.622696712669232,1.28249129037971,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742596-T1",0.0702872247621921,0.183436788132627,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742832-T1",1.26394077489833,0.0131114099113332,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743248-T1",0.124567591084366,0.888606580599763,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743250-T1",0.365367032967725,1.3659547008948,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743254-T1",-0.0817302145251628,5.13534021338585,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743293-T1",0.419693188468812,0.567543039979323,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743331-T1",0.525408681008388,1.55901730720576,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743637-T1",-0.339199972357359,0.318262648926117,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743882-T1",0.267796111098035,1.1814056196595,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744029-T1",0.459608131449185,5.4756475764225,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744076-T1",-0.0811769685293511,5.16010132130754,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744080-T1",-0.36830673819093,13.6664053043871,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744208-T1",-0.854582179998316,0.536247250622745,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745406-T1",0.382583917505415,3.12424052845382,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000003",0.242379138938781,6.49860127571218,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,0.210666666666667,0.422234195402299,0.0805308275634685
"SPU_000007",0.456590791656549,1.69056553972767,"SP-WNT7",99,250.666666666667,0,50,7730,1214,6516,0.099,0.0384694086351545,0.0411861614497529
"SPU_000008",-0.197550270549658,2.99933132057833,"SP-PLCXD3L",32.6666666666667,0,0,70.6666666666667,1423,961,462,0.0326666666666667,0,0.0735345126604232
"SPU_000011",-0.113933573060287,3.88672738949514,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000012",0.0747428482614171,2.3736776198906,"SP-AGMAT",4,124.333333333333,0,23.3333333333333,9195,1159,8036,0.004,0.0154720424755268,0.0201322979580098
"SPU_000013",0.0258679705372168,7.81300736017685,"SP-DNAH1_1",66,121,0,190,30639,7228,23411,0.066,0.00516851052923839,0.0262866629773105
"SPU_000014",0.187962580015746,5.30179220934429,"SP-UBE2A",20.6666666666667,0,0,0,4210,1388,2822,0.0206666666666667,0,0
"SPU_000016",0.030693802676861,3.36079371833041,NA,0,0,0,0,0,0,0,0,0,0
