"","id","NN1","NN2","NN3","NU1","NU2","NU3","UN1","UN2","UN3","UU1","UU3_1","UU3_2","V41","median","meth"
"1","Scaffold1.1542140.1542140",4.16666666666667,0,37.7358490566038,21.4285714285714,50,12.5,40,8.33333333333333,63.2352941176471,36.5079365079365,29.1666666666667,30,"SPU_002012",29.5833333333333,TRUE
"2","Scaffold1.1542149.1542149",16.6666666666667,35,47.1698113207547,29.2682926829268,58.6206896551724,16.0714285714286,44.2307692307692,41.6666666666667,56.9230769230769,36.5079365079365,42.2222222222222,53.3333333333333,"SPU_002012",41.9444444444444,TRUE
"3","Scaffold1.1542174.1542174",4.34782608695652,47.5,48,42.8571428571429,65.5172413793103,23.2142857142857,56.6666666666667,54.1666666666667,72.0588235294118,53.2258064516129,58.3333333333333,60,"SPU_002012",53.6962365591398,TRUE
"4","Scaffold1.2019821.2019821",100,100,100,96.4601769911504,92.1348314606742,91.743119266055,100,100,92,90.2173913043478,100,100,"SPU_020944",100,TRUE
"5","Scaffold1.2019831.2019831",95.7142857142857,100,100,92.9203539823009,87.6404494382023,90.8256880733945,100,100,100,100,91.4285714285714,97.1428571428571,"SPU_020944",98.5714285714286,TRUE
"6","Scaffold1.2019857.2019857",100,100,100,92.9203539823009,92.1348314606742,100,100,100,100,94.5652173913043,98.5714285714286,95.7142857142857,"SPU_020944",100,TRUE
"7","Scaffold1.2019916.2019916",95.7142857142857,100,94.4444444444444,90.2654867256637,95.5056179775281,100,91.2280701754386,100,100,90.2173913043478,98.5714285714286,83.8235294117647,"SPU_020944",95.6099518459069,TRUE
"8","Scaffold1.501355.501355",3.87596899224806,1.94174757281553,0,0,3.44827586206897,10.4166666666667,19.5121951219512,17.6470588235294,11.4942528735632,2.7027027027027,8.92857142857143,12.8205128205128,"SPU_025459",6.40227021040975,TRUE
"9","Scaffold10.1696184.1696184",0,0,0,0,8.69565217391304,0,0,0,0,11.7647058823529,5.26315789473684,0,"SPU_016847",0,FALSE
"10","Scaffold10.1696190.1696190",8.69565217391304,0,0,0,0,0,0,0,0,0,0,0,"SPU_016847",0,FALSE
"11","Scaffold10.1910382.1910382",0,15,0,5.63380281690141,0,6.81818181818182,0,5.55555555555556,4.93827160493827,6.66666666666667,11.3636363636364,10.3448275862069,"SPU_011202",5.59467918622848,TRUE
"12","Scaffold10.1910390.1910390",4.34782608695652,0,0,0,5.26315789473684,0,0,0,0,0,0,0,"SPU_011202",0,FALSE
