"exonid","CpG_count"
"ENSRNA022742519-E1",2
"ENSRNA022742539-E1",1
"ENSRNA022742584-E1",6
"ENSRNA022742653-E1",2
"ENSRNA022742655-E1",5
"ENSRNA022742795-E1",4
"ENSRNA022742943-E1",1
"ENSRNA022743004-E1",1
"ENSRNA022743008-E1",4
"ENSRNA022743011-E1",3
"ENSRNA022743077-E1",2
"ENSRNA022743211-E1",1
"ENSRNA022743214-E1",6
"ENSRNA022743381-E1",1
"ENSRNA022743529-E1",1
"ENSRNA022743535-E1",1
"ENSRNA022743598-E1",2
"ENSRNA022743701-E1",1
"ENSRNA022743833-E1",7
"ENSRNA022743976-E1",4
"ENSRNA022744076-E1",10
"ENSRNA022744080-E1",19
"ENSRNA022744106-E1",4
"ENSRNA022744112-E1",1
"ENSRNA022744125-E1",1
"ENSRNA022744130-E1",1
"ENSRNA022744137-E1",5
"ENSRNA022744149-E1",2
"ENSRNA022744232-E1",3
"ENSRNA022744342-E1",4
"ENSRNA022744598-E1",2
"ENSRNA022744620-E1",2
"ENSRNA022744622-E1",3
"ENSRNA022744637-E1",4
"ENSRNA022744703-E1",2
"ENSRNA022744715-E1",3
"ENSRNA022745199-E1",3
"ENSRNA022745203-E1",7
"ENSRNA022745286-E1",3
"ENSRNA022745299-E1",3
"ENSRNA022745425-E1",3
"ENSRNA022745534-E1",1
"ENSRNA022745535-E1",5
"ENSRNA022745541-E1",3
"ENSRNA022745712-E1",3
"ENSRNA022745791-E1",1
"ENSRNA022745882-E1",5
"ENSRNA022745887-E1",6
"ENSRNA022746438-E1",8
"ENSRNA022746484-E1",8
"SPU_000002-tr-E4",5
"SPU_000003-tr-E2",26
"SPU_000004-tr-E1",7
"SPU_000004-tr-E5",5
"SPU_000018-tr-E1",11
"SPU_000019-tr-E1",7
"SPU_000020-tr-E1",4
"SPU_000030-tr-E1",11
"SPU_000035-tr-E1",2
"SPU_000041-tr-E38",3
"SPU_000041-tr-E41",4
"SPU_000048-tr-E1",2
"SPU_000048-tr-E4",9
"SPU_000050-tr-E10",5
"SPU_000053-tr-E11",1
"SPU_000053-tr-E12",1
"SPU_000053-tr-E22",10
"SPU_000053-tr-E23",12
"SPU_000053-tr-E28",3
"SPU_000053-tr-E33",12
"SPU_000053-tr-E52",7
"SPU_000053-tr-E59",5
"SPU_000053-tr-E70",7
"SPU_000061-tr-E1",2
"SPU_000061-tr-E2",7
"SPU_000065-tr-E1",10
"SPU_000066-tr-E1",3
"SPU_000069-tr-E5",1
"SPU_000070-tr-E6",3
"SPU_000070-tr-E8",8
"SPU_000071-tr-E1",6
"SPU_000073-tr-E9",1
"SPU_000079-tr-E1",1
"SPU_000086-tr-E1",2
"SPU_000092-tr-E10",3
"SPU_000092-tr-E8",3
"SPU_000098-tr-E12",5
"SPU_000103-tr-E1",13
"SPU_000105-tr-E1",4
"SPU_000114-tr-E1",8
"SPU_000135-tr-E14",12
"SPU_000135-tr-E5",1
"SPU_000138-tr-E2",1
"SPU_000144-tr-E12",2
"SPU_000145-tr-E6",3
"SPU_000146-tr-E1",1
"SPU_000150-tr-E5",2
"SPU_000159-tr-E11",8
"SPU_000159-tr-E14",5
"SPU_000159-tr-E17",10
"SPU_000163-tr-E3",1
"SPU_000166-tr-E5",4
"SPU_000166-tr-E7",8
"SPU_000169-tr-E6",3
"SPU_000170-tr-E13",3
"SPU_000176-tr-E6",4
"SPU_000177-tr-E5",1
"SPU_000195-tr-E14",1
"SPU_000199-tr-E1",34
"SPU_000202-tr-E1",3
"SPU_000208-tr-E2",11
"SPU_000208-tr-E4",14
"SPU_000217-tr-E2",2
"SPU_000225-tr-E8",4
"SPU_000227-tr-E3",2
"SPU_000239-tr-E1",3
"SPU_000241-tr-E10",1
"SPU_000241-tr-E24",7
"SPU_000243-tr-E2",2
"SPU_000247-tr-E3",12
"SPU_000252-tr-E16",4
"SPU_000252-tr-E3",1
"SPU_000255-tr-E2",6
"SPU_000255-tr-E6",12
"SPU_000255-tr-E7",5
"SPU_000259-tr-E6",6
"SPU_000271-tr-E1",1
"SPU_000276-tr-E2",3
"SPU_000279-tr-E4",6
"SPU_000290-tr-E7",1
"SPU_000293-tr-E2",3
"SPU_000304-tr-E4",1
"SPU_000308-tr-E2",1
"SPU_000313-tr-E5",2
"SPU_000316-tr-E5",2
"SPU_000327-tr-E8",2
"SPU_000327-tr-E9",3
"SPU_000330-tr-E6",10
"SPU_000343-tr-E2",2
"SPU_000343-tr-E4",4
"SPU_000346-tr-E22",1
"SPU_000347-tr-E2",4
"SPU_000356-tr-E4",3
"SPU_000358-tr-E1",16
"SPU_000358-tr-E2",9
"SPU_000362-tr-E24",3
"SPU_000362-tr-E26",29
"SPU_000372-tr-E2",3
"SPU_000373-tr-E3",2
"SPU_000381-tr-E2",2
"SPU_000382-tr-E2",3
"SPU_000396-tr-E3",2
"SPU_000402-tr-E10",6
"SPU_000402-tr-E2",1
"SPU_000402-tr-E3",6
"SPU_000406-tr-E13",1
"SPU_000409-tr-E7",7
"SPU_000410-tr-E2",5
"SPU_000413-tr-E1",13
"SPU_000419-tr-E10",1
"SPU_000419-tr-E5",4
"SPU_000419-tr-E6",1
"SPU_000423-tr-E1",22
"SPU_000426-tr-E2",2
"SPU_000435-tr-E21",1
"SPU_000439-tr-E1",4
"SPU_000439-tr-E3",3
"SPU_000440-tr-E4",3
"SPU_000441-tr-E8",6
"SPU_000447-tr-E7",1
"SPU_000468-tr-E6",4
"SPU_000471-tr-E3",7
"SPU_000471-tr-E5",6
"SPU_000480-tr-E2",4
"SPU_000484-tr-E4",9
"SPU_000508-tr-E4",2
"SPU_000513-tr-E12",2
"SPU_000513-tr-E6",3
"SPU_000514-tr-E15",11
"SPU_000538-tr-E6",2
"SPU_000545-tr-E1",6
"SPU_000545-tr-E5",1
"SPU_000545-tr-E8",2
"SPU_000555-tr-E2",1
"SPU_000563-tr-E4",5
"SPU_000565-tr-E5",2
"SPU_000576-tr-E1",19
"SPU_000581-tr-E11",5
"SPU_000581-tr-E12",1
"SPU_000581-tr-E2",2
"SPU_000581-tr-E3",1
"SPU_000582-tr-E5",3
"SPU_000582-tr-E9",4
"SPU_000583-tr-E13",2
"SPU_000583-tr-E2",1
"SPU_000583-tr-E3",3
"SPU_000584-tr-E1",2
"SPU_000585-tr-E3",3
"SPU_000590-tr-E9",5
"SPU_000595-tr-E5",2
"SPU_000599-tr-E5",9
"SPU_000599-tr-E7",5
"SPU_000614-tr-E16",1
"SPU_000614-tr-E5",3
"SPU_000614-tr-E6",5
"SPU_000619-tr-E2",3
"SPU_000619-tr-E6",3
"SPU_000621-tr-E12",2
"SPU_000634-tr-E3",4
"SPU_000635-tr-E5",6
"SPU_000645-tr-E3",7
"SPU_000645-tr-E4",4
"SPU_000652-tr-E1",12
"SPU_000669-tr-E2",14
"SPU_000678-tr-E4",3
"SPU_000680-tr-E14",1
"SPU_000682-tr-E1",43
"SPU_000683-tr-E1",19
"SPU_000687-tr-E6",1
"SPU_000692-tr-E1",5
"SPU_000694-tr-E1",9
"SPU_000703-tr-E1",22
"SPU_000712-tr-E2",6
"SPU_000718-tr-E1",3
"SPU_000719-tr-E1",6
"SPU_000721-tr-E15",4
"SPU_000721-tr-E18",1
"SPU_000733-tr-E9",4
"SPU_000739-tr-E1",11
