"geneid","gb_DM_logFC","gb_DM_logCPM","LR","PValue","logFC","logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000003",0.430001665428348,6.14764389573177,1.42634129813262,0.23236246983795,0.242379138938781,6.49860127571218,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,0.210666666666667,0.422234195402299,0.0805308275634685
"SPU_000013",-0.0742366892380944,5.78700704598324,0.0419676357273087,0.837681476990195,0.0258679705372168,7.81300736017685,"SP-DNAH1_1",66,121,0,190,30639,7228,23411,0.066,0.00516851052923839,0.0262866629773105
"SPU_000017",-0.119394445092083,7.0767296434972,0.194023244605216,0.659588989702991,0.682346157148733,2.77154021754787,"SP-Z307",75,203.666666666667,27,40.3333333333333,9193,1643,7550,0.075,0.0269757174392936,0.0245485899776831
"SPU_000018",-0.374098325205132,6.70493366016603,1.90206232052674,0.167847661314064,-0.166712360352002,0.455793854283251,"SP-CSPL",61.6666666666667,0,0,66,572,572,0,0.0616666666666667,0,0.115384615384615
"SPU_000019",-0.79919546926731,7.10060201789597,10.0493094207377,0.00152405062492413,-0.50002979655994,0.80175001503763,"SP-CSPL_1",25.6666666666667,0,0,0,1139,1139,0,0.0256666666666667,0,0
"SPU_000020",0.663420119836975,5.60826949911993,2.45294808968473,0.117304369224084,0.0212085448285463,0.491435409023019,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000022",-0.0963845835316266,0.724674478054432,0.00252120899996511,0.959953734222602,0.18043472312354,8.30738935317516,"SP-ATP5F1",11,186,5.66666666666667,116.333333333333,9776,1185,8591,0.011,0.0216505645442905,0.0981715893108298
"SPU_000023",1.35533647126739,2.85223611912353,1.62983886260728,0.201725337564522,0.191919303777152,6.10439056031139,"SP-MICAL3L",3.33333333333333,612.333333333333,75.6666666666667,528.333333333333,17493,3062,14431,0.00333333333333333,0.0424318019079297,0.172545177443936
"SPU_000025",-0.339119300692329,4.23126552841425,0.364005600409204,0.546289999783614,-0.000438495787043023,2.40966401974996,"SP-CLCN1",21,28.3333333333333,0,42.6666666666667,3742,748,2994,0.021,0.00946337118681808,0.0570409982174688
"SPU_000035",0.214994978395962,5.41826070617701,0.210054125352929,0.64672498442377,-0.0437078613001798,6.21115884648596,"SP-EFHDC2",35.3333333333333,0,0,0,2076,492,1584,0.0353333333333333,0,0
"SPU_000043",-0.638563245397062,4.74552977228494,1.46545966298419,0.226063425127897,-0.398717949756309,3.33279201248254,"SP-LRP6L",22,0,0,0,3500,894,2606,0.022,0,0
"SPU_000047",0.00415834844376893,6.7959394501117,0.000183915072842211,0.989179796939056,-0.242356634729347,1.70365511073288,"SP-EGFL",62.3333333333333,1249.66666666667,1249.66666666667,0,46710,1136,45574,0.0623333333333333,0.0274206053158965,0
"SPU_000048",0.315027172638422,5.38421394054025,0.484943016123923,0.486191823473579,0.0770706897850324,8.17058016334979,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,0.0563333333333333,0.0222273143904675,0.0201458410579656
"SPU_000049",0.336463367820289,6.44017957922381,1.12655347190772,0.288511685284607,0.206790658869213,4.18757492838998,"SP-TRYPL",33.6666666666667,603.666666666667,150.333333333333,151.666666666667,15493,2620,12873,0.0336666666666667,0.0468940158989099,0.0578880407124682
"SPU_000059",0.334082721133599,2.78473810089921,0.152850132365605,0.695826414444176,-0.409120740207612,0.885842495068503,"SP-DDX55L",15,0,0,0,1433,237,1196,0.015,0,0
"SPU_000061",-0.342586260781169,5.84893291534012,0.712552938586608,0.398597598731364,-0.326673227697713,7.77077235046716,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,0.0426666666666667,0.0115462557142184,0.0265938069216758
"SPU_000066",-0.773130329007049,2.38668120162912,0.601675180223254,0.437939581815131,-0.224602692660539,1.87837292244316,"SP-NSUN7L",140.333333333333,265.333333333333,65,102,22936,2782,20154,0.140333333333333,0.0131652939036089,0.0366642703091301
"SPU_000067",-0.893135981140294,1.15132381783894,0.610692863665939,0.434527053949531,-0.422653255986358,2.63448678235967,"SP-CRJ1L",17.3333333333333,18,0,50,3495,642,2853,0.0173333333333333,0.00630914826498423,0.0778816199376947
"SPU_000068",-0.370582950133161,7.29618568648141,2.41561892152213,0.120130482256097,0.320425627054778,5.08049565539119,"SP-AGA_1",6,2,2,0,21061,2362,18699,0.006,0.000106957591315044,0
"SPU_000069",0.57673130381716,7.42471606870879,5.6823855791286,0.0171360531400768,-0.471590315673447,3.45444637164912,"SP-GLYT1L",55.6666666666667,210,2,182.666666666667,11889,1241,10648,0.0556666666666667,0.0197220135236664,0.147193123824872
"SPU_000070",-0.0784750354077806,7.94584936571929,0.134256281834177,0.714059165279253,0.458597382345679,1.56179889902642,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,0.007,0.0244475501812805,0.0920604512558535
"SPU_000074",-0.596597759955158,1.9353364455006,0.413453857341249,0.520221649034239,0.0163780919069618,4.79198135267653,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000075",-0.0866671819789961,4.93059786313168,0.0339115919417985,0.853894995899393,0.217239498681435,7.21564832447634,"SP-METHIAPD2L",108,221.666666666667,0,18.3333333333333,16577,4421,12156,0.108,0.0182351650762312,0.00414687476438212
"SPU_000076",-0.472948234049122,4.70524148731411,0.75486074310408,0.384941640805855,0.497974777548785,5.4439051266323,"SP-GAT_2",31.3333333333333,397.666666666667,0,140,15518,3592,11926,0.0313333333333333,0.0333445133881156,0.0389755011135857
"SPU_000084",0.191127764532732,6.92820901828686,0.551813372413475,0.457577696385612,-0.00546953363970701,4.63235042405074,"SP-TBCD",90.6666666666667,463.333333333333,46.3333333333333,230,34697,2804,31893,0.0906666666666667,0.0145277438100315,0.0820256776034237
"SPU_000091",0.120934199488494,4.534586950785,0.0541225402037158,0.816039010052671,-0.192555059350154,7.17166535714505,"SP-FIMBPH",20.6666666666667,169.333333333333,0,105,9360,995,8365,0.0206666666666667,0.0202430763100219,0.105527638190955
"SPU_000094",0.117046624985583,7.15787685803743,0.204099851181671,0.651431719007813,0.0662198368104182,4.65973231898708,"SP-HYPP_293",140.666666666667,627,627,0,100236,2189,98047,0.140666666666667,0.0063948922455557,0
"SPU_000098",0.994785773787389,4.58825519560277,3.59270394648694,0.0580337441756953,0.00792702147158908,6.54763761037104,"SP-CLASP2",48.6666666666667,1150.33333333333,1150.33333333333,374.666666666667,36090,3133,32957,0.0486666666666667,0.0349040669154757,0.119587190126609
"SPU_000105",-1.55003324807455,3.01302156349153,2.58352295399303,0.107981094689531,-0.116065801065183,5.16124548722023,"SP-MAPKKK12/13",106.666666666667,132.666666666667,0,402.333333333333,9324,3179,6145,0.106666666666667,0.0215893680499051,0.126559714795009
"SPU_000114",0.135153827660173,5.70692175725227,0.135010427531845,0.713292591085232,0.296321540619002,7.00050737379325,"SP-FUT6",11.3333333333333,0,0,0,4587,4587,0,0.0113333333333333,0,0
"SPU_000128",0.0676187981246725,6.0839624521275,0.0327048439913522,0.856489392505829,0.0957592316210121,7.76241422997833,"SP-TROPMY1",133.333333333333,1880.66666666667,413,157.666666666667,24826,721,24105,0.133333333333333,0.0780197745972482,0.218677762367083
"SPU_000142",-0.74881150672093,1.03097818015041,0.548839607259858,0.458792217942816,-0.0674772844115519,7.396355723393,"SP-COL18A1LF",80.6666666666667,0,0,0,49315,4140,45175,0.0806666666666667,0,0
"SPU_000144",-0.0810344525669029,4.27873224854408,0.0159663883400434,0.899448408390799,-0.318711493587477,4.89422380954866,"SP-NOP5",58.6666666666667,124,1.33333333333333,94.3333333333333,10419,1594,8825,0.0586666666666667,0.0140509915014164,0.0591802593057298
"SPU_000146",1.06710365295359,3.02977333271074,1.22113273077832,0.269138467660785,0.000925563704497647,5.56173747538862,"SP-KPNB1",130.333333333333,867,176.333333333333,578,21399,2548,18851,0.130333333333333,0.0459922550527823,0.226844583987441
"SPU_000152",0.941249123169389,6.57986447066167,10.2822331149631,0.00134317285350918,-0.847581660096631,2.97253661791852,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000157",1.52498058714405,2.70019577261244,1.92458430443397,0.165352169074644,-0.577490461079414,0.332157847297362,"SP-DPL",18,41.3333333333333,2.66666666666667,445.333333333333,8836,7013,1823,0.018,0.0226732492228927,0.0635011169732402
"SPU_000159",0.4665126315901,6.58211492699079,2.39517571726058,0.121710073341724,0.239579728028617,10.8670177040051,"SP-BDNR",29.3333333333333,821.333333333333,0,1147.66666666667,16477,6715,9762,0.0293333333333333,0.0841357645291265,0.170910896003971
"SPU_000162",0.265789953627419,3.00171181440028,0.112933811537237,0.73682843973852,-1.85901422678758,0.25251182546517,"SP-MYH1L",43.6666666666667,107,8,46.6666666666667,9358,1542,7816,0.0436666666666667,0.0136898669396111,0.0302637267617812
"SPU_000166",-0.0152063052361606,5.86424728935937,0.00121996023732507,0.972137209924985,0.200243499242792,4.67493707557717,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,0.0383333333333333,0.00562123850548376,0.0271268285754864
"SPU_000169",0.379857193310513,2.94528271261189,0.151125301267442,0.697462291341718,-0.00202835568219049,5.14902661826547,"SP-NCOA7L",73.6666666666667,669,0,289,34770,2848,31922,0.0736666666666667,0.0209573335004072,0.101474719101124
"SPU_000170",0.588862965918228,3.65225573749475,0.784172817498207,0.375867974326892,0.104710048631548,8.05858749799339,"SP-ARS2",27,408.666666666667,0,227,16602,2543,14059,0.027,0.0290679754368495,0.0892646480534801
