"","exonid","N","median","sd","se","ci","exon_length","peak_density_ind_exons","spu_id","peak_dens_norm_ind_exon"
"1","ENSRNA022742584-E1",6,0.595238095238095,1.45802960879951,0.595238095238095,1.53010823549781,72,0,"ENSRNA022742584-E1",0
"2","ENSRNA022742655-E1",5,0.838815789473684,1.87564912586331,0.838815789473684,2.32892599284683,118,0,"ENSRNA022742655-E1",0
"3","ENSRNA022742795-E1",4,0,0,0,0,70,0,"ENSRNA022742795-E1",0
"4","ENSRNA022743008-E1",4,13.3945225817436,3.30049878140494,1.65024939070247,5.25183007623776,71,0,"ENSRNA022743008-E1",0
"5","ENSRNA022743011-E1",3,27.5570035601868,2.67981406637963,1.54719137260242,6.65702718277263,71,0,"ENSRNA022743011-E1",0
"6","ENSRNA022743214-E1",6,0,0,0,0,88,0,"ENSRNA022743214-E1",0
"7","ENSRNA022743833-E1",7,1.39455782312925,3.6896531888996,1.39455782312925,3.41236006452189,71,0,"ENSRNA022743833-E1",0
"8","ENSRNA022743976-E1",4,2.06473214285714,4.12946428571428,2.06473214285714,6.57089917943623,72,0,"ENSRNA022743976-E1",0
"9","ENSRNA022744076-E1",10,0,0,0,0,155,0,"ENSRNA022744076-E1",0
"10","ENSRNA022744080-E1",19,1.59963770170327,2.88611500180509,0.662120191173953,1.39106290292597,1814,0,"ENSRNA022744080-E1",0
"11","ENSRNA022744106-E1",4,2.9128959276018,5.8257918552036,2.9128959276018,9.27013488247231,118,0,"ENSRNA022744106-E1",0
"12","ENSRNA022744137-E1",5,2.55334281650071,3.75837436994635,1.6807961152186,4.66663814693414,118,0,"ENSRNA022744137-E1",0
"13","ENSRNA022744232-E1",3,0.387596899224807,0.671337522313519,0.387596899224807,1.66769485649204,71,0,"ENSRNA022744232-E1",0
"14","ENSRNA022744342-E1",4,1.60965499746397,0.934751922380036,0.467375961190018,1.48739890086759,72,0,"ENSRNA022744342-E1",0
"15","ENSRNA022744622-E1",3,0,0,0,0,71,0,"ENSRNA022744622-E1",0
