"geneid","N","median","sd","se","ci","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"ENSRNA022742584",6,0.595238095238095,1.45802960879951,0.595238095238095,1.53010823549781,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022742655",5,0.838815789473684,1.87564912586331,0.838815789473684,2.32892599284683,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743214",6,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022743833",7,1.39455782312925,3.6896531888996,1.39455782312925,3.41236006452189,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744076",10,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744080",19,1.59963770170327,2.88611500180509,0.662120191173953,1.39106290292597,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022744137",5,2.55334281650071,3.75837436994635,1.6807961152186,4.66663814693414,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745203",7,1.18152524167562,3.12602195721917,1.18152524167562,2.89108811628299,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745535",5,2.82419786096257,4.80378992842464,2.14832016591727,5.96469300905872,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745882",5,0.197191227395152,0.272366201130584,0.121805868100273,0.338187306271372,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022745887",6,0.490196078431373,1.20073026607019,0.490196078431373,1.26008913511584,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022746438",8,0.520348837209302,1.47176876549293,0.520348837209302,1.23042947975322,NA,0,0,0,0,0,0,0,0,0,0
"ENSRNA022746484",8,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000002",5,0,0,0,0,"SP-CUB/LDLA/GPCR",52.3333333333333,455.333333333333,164.333333333333,87.3333333333333,23362,1940,21422,52.3333333333333,0.0212554072137678,0.0450171821305842
"SPU_000003",26,1.15094819421743,3.20602796839235,0.628753814306031,1.29494272075396,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,210.666666666667,0.422234195402299,0.0805308275634685
"SPU_000004",12,3.08972985890458,4.15283571884093,1.19882041008655,2.63858593221547,"SP-HYPP_1240",12.3333333333333,863.666666666667,0,23,25072,1610,23462,12.3333333333333,0.0368112977012474,0.0142857142857143
"SPU_000018",11,55.769102560989,16.7517871958803,5.05085388151044,11.2540037690991,"SP-CSPL",61.6666666666667,0,0,66,572,572,0,61.6666666666667,0,0.115384615384615
"SPU_000019",7,10.4208862616604,12.1767522571548,4.60237974983942,11.2616175533517,"SP-CSPL_1",25.6666666666667,0,0,0,1139,1139,0,25.6666666666667,0,0
"SPU_000030",11,0.614250614250615,2.03723881471462,0.614250614250615,1.36863565846823,"SP-GPR21_1",72.6666666666667,0,0,0,935,935,0,72.6666666666667,0,0
"SPU_000048",11,99.7192513368984,0.75690176582427,0.228214469126959,0.5084935252472,"SP-SLC31A1",56.3333333333333,97,19.3333333333333,54.3333333333333,7061,2697,4364,56.3333333333333,0.0222273143904675,0.0201458410579656
"SPU_0000500",5,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0000530",7,27.8926980148785,6.12698354935006,2.3157821083663,5.66651468563099,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0000532",21,2.69016215051485,4.25416125526912,0.928334093848528,1.93647098661871,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0000533",24,1.25168698039929,2.84684385503719,0.581109568518243,1.20211673140259,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0000539",5,1.32575757575758,2.01328519180581,0.900368509394297,2.49982374078203,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000061",9,1.41082501950756,2.55740635045761,0.852468783485869,1.96579653985088,"SP-BTUB2",42.6666666666667,81.6666666666667,8.66666666666667,48.6666666666667,8903,1830,7073,42.6666666666667,0.0115462557142184,0.0265938069216758
"SPU_000065",10,93.2952310585254,10.6405708885548,3.36484396123149,7.61180586859811,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000070",11,0.447982385569716,1.48578948562307,0.447982385569716,0.99816695829338,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_000071",6,88.214613744703,28.1221575925389,11.4808227613093,29.5123944483817,"SP-APBB1L",92.6666666666667,598,4.66666666666667,177.666666666667,10145,1134,9011,92.6666666666667,0.0663633337032516,0.156672545561434
"SPU_0000982",5,99.4736842105263,1.17687788289462,0.526315789473679,1.46128689747251,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000103",13,20.0413937913938,1.4166567403353,0.392909885923892,0.856077100354064,"SP-ACRV1L",51.3333333333333,66,65.3333333333333,58,401,401,0,51.3333333333333,0,0.144638403990025
"SPU_000114",26,56.1928483936517,8.79916592782201,1.72565841420405,3.55406003293635,"SP-FUT6",11.3333333333333,0,0,0,4587,4587,0,11.3333333333333,0,0
"SPU_0001354",12,93.3194618451187,10.4345986040546,3.01220915646832,6.62982765247893,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0001442",6,81.8834573162482,39.3706355778719,16.072994669142,41.3169481407756,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0001591",8,95.7981321839081,9.20203241963947,3.25340976231276,7.69309162433348,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0001594",5,98.7541557334396,1.24655052336966,0.557474341528498,1.54779690681016,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0001597",10,96.7697939749424,6.85491313529804,2.16771386701478,4.90370945116447,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000166",12,0.178268251273345,0.476455692218498,0.13754091107964,0.30272550419177,"SP-SLC35F3L",38.3333333333333,61.3333333333333,17.3333333333333,63.6666666666667,13258,2347,10911,38.3333333333333,0.00562123850548376,0.0271268285754864
"SPU_000199",34,0.844391180654275,1.73146668889009,0.296944087366035,0.604137288233332,"SP-TLR003",158.333333333333,0,0,0,2639,2639,0,158.333333333333,0,0
"SPU_000208",25,97.615682972948,6.3692291639457,1.27384583278914,2.62908858202936,NA,0,0,0,0,0,0,0,0,0,0
"SPU_0002414",7,99.6240601503759,0.994643350024273,0.375939849624057,0.919891673362762,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000247",12,1.12120385716798,1.36254353362264,0.393332437959808,0.865718858932202,"SP-TPPP2/3",51.3333333333333,33.3333333333333,18.3333333333333,56.3333333333333,2502,861,1641,51.3333333333333,0.0203128173877717,0.0654277971351142
"SPU_000255",23,1.06269516483588,2.649116190083,0.552378910144267,1.14556374502637,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000259",7,99.6677740863787,0.878987146533075,0.332225913621258,0.812927525297321,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000279",6,0.763888888888888,1.87113799795937,0.763888888888889,1.96363890222218,"SP-CYP17A1",58.6666666666667,0,0,0,2739,656,2083,58.6666666666667,0,0
"SPU_000327",5,1.36533650982728,2.49024147545956,1.11366984390339,3.09204318691196,"SP-UNC44L_2",64,268.333333333333,0,115,27627,3672,23955,64,0.0112015584777012,0.031318082788671
"SPU_000330",10,2.35522439732966,3.82399605725715,1.20925373044363,2.7355219879635,"SP-HGFL",84.6666666666667,368.666666666667,120.666666666667,391.333333333333,17443,3470,13973,84.6666666666667,0.0263842171807534,0.112776176753122
"SPU_000343",6,1.63978494623656,4.01663640617672,1.63978494623656,4.21520139714557,"SP-SYT6-1",20.6666666666667,94.3333333333333,0,27.3333333333333,7812,551,7261,20.6666666666667,0.012991782582748,0.0496067755595886
"SPU_000347",10,1.62190225233703,3.54580835321405,1.12128305426072,2.53651849272014,"SP-HYPP_298",20,0,0,0,2147,1264,883,20,0,0
