"geneid","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000002","SP-CUB/LDLA/GPCR",52.3333333333333,455.333333333333,164.333333333333,87.3333333333333,23362,1940,21422,0.0523333333333333,0.0212554072137678,0.0450171821305842
"SPU_000003","SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,0.210666666666667,0.422234195402299,0.0805308275634685
"SPU_000004","SP-HYPP_1240",12.3333333333333,863.666666666667,0,23,25072,1610,23462,0.0123333333333333,0.0368112977012474,0.0142857142857143
"SPU_000005","SP-DNASE2L",69,371.666666666667,0,100.666666666667,284,284,0,0.069,0,0.354460093896714
"SPU_000006","SP-RIGIL4",0.666666666666667,0,0,0,7501,3184,4317,0.000666666666666667,0,0
"SPU_000007","SP-WNT7",99,250.666666666667,0,50,7730,1214,6516,0.099,0.0384694086351545,0.0411861614497529
"SPU_000008","SP-PLCXD3L",32.6666666666667,0,0,70.6666666666667,1423,961,462,0.0326666666666667,0,0.0735345126604232
"SPU_000009","SP-MFSD1",0.333333333333333,0.666666666666667,0,0,3967,464,3503,0.000333333333333333,0.000190313064991912,0
"SPU_000012","SP-AGMAT",4,124.333333333333,0,23.3333333333333,9195,1159,8036,0.004,0.0154720424755268,0.0201322979580098
"SPU_000013","SP-DNAH1_1",66,121,0,190,30639,7228,23411,0.066,0.00516851052923839,0.0262866629773105
"SPU_000014","SP-UBE2A",20.6666666666667,0,0,0,4210,1388,2822,0.0206666666666667,0,0
"SPU_000015","SP-NLR94",2.66666666666667,0,0,0,14192,2465,11727,0.00266666666666667,0,0
"SPU_000017","SP-Z307",75,203.666666666667,27,40.3333333333333,9193,1643,7550,0.075,0.0269757174392936,0.0245485899776831
"SPU_000018","SP-CSPL",61.6666666666667,0,0,66,572,572,0,0.0616666666666667,0,0.115384615384615
"SPU_000019","SP-CSPL_1",25.6666666666667,0,0,0,1139,1139,0,0.0256666666666667,0,0
"SPU_000021","SP-HSCBL",117,205.666666666667,0,41.6666666666667,8238,573,7665,0.117,0.0268319199826049,0.072716695753345
"SPU_000022","SP-ATP5F1",11,186,5.66666666666667,116.333333333333,9776,1185,8591,0.011,0.0216505645442905,0.0981715893108298
"SPU_000023","SP-MICAL3L",3.33333333333333,612.333333333333,75.6666666666667,528.333333333333,17493,3062,14431,0.00333333333333333,0.0424318019079297,0.172545177443936
"SPU_000024","SP-PSMC3L",27.3333333333333,26.6666666666667,0,6.66666666666667,5182,338,4844,0.0273333333333333,0.00550509221029452,0.019723865877712
"SPU_000025","SP-CLCN1",21,28.3333333333333,0,42.6666666666667,3742,748,2994,0.021,0.00946337118681808,0.0570409982174688
"SPU_000027","SP-RTL",176,0,0,1.33333333333333,911,911,0,0.176,0,0.00146359312111233
"SPU_000028","SP-ST1B2L",126.333333333333,350.333333333333,0,100,6446,852,5594,0.126333333333333,0.0626266237635562,0.117370892018779
"SPU_000030","SP-GPR21_1",72.6666666666667,0,0,0,935,935,0,0.0726666666666667,0,0
"SPU_000031","SP-CLECT/PAN/KRINGLE",39,744.666666666667,0,164.333333333333,16643,2001,14642,0.039,0.0508582616218185,0.0821256038647343
"SPU_000032","SP-AIFM3L",79,62,0,29.6666666666667,9975,1123,8852,0.079,0.0070040668775418,0.0264173345206293
"SPU_000033","SP-PERLD1L",37,21.3333333333333,0,8.33333333333333,6649,935,5714,0.037,0.0037335200093338,0.0089126559714795
"SPU_000034","SP-FHAD1L",26.3333333333333,11.3333333333333,0,9.33333333333333,9116,1738,7378,0.0263333333333333,0.00153609831029186,0.00537015726889145
"SPU_000035","SP-EFHDC2",35.3333333333333,0,0,0,2076,492,1584,0.0353333333333333,0,0
"SPU_000036","SP-ACOT8",29,0,0,0,3218,861,2357,0.029,0,0
"SPU_000037","SP-VEPH1_1",56.3333333333333,132,0,176,15144,1922,13222,0.0563333333333333,0.00998336106489185,0.0915712799167534
"SPU_000038","SP-SLC16A9L",48.3333333333333,0,0,0,2040,1035,1005,0.0483333333333333,0,0
"SPU_000040","SP-C7ORF60L",97,259,0,61.3333333333333,9648,3801,5847,0.097,0.0442962202839063,0.0161361045338946
"SPU_000042","SP-KRFP1",83,10.6666666666667,0,254,4586,1698,2888,0.083,0.00369344413665743,0.149587750294464
"SPU_000043","SP-LRP6L",22,0,0,0,3500,894,2606,0.022,0,0
"SPU_000044","SP-LRPS5L",21.6666666666667,41,41,20.6666666666667,7728,2586,5142,0.0216666666666667,0.00797355114741346,0.0079917504511472
"SPU_000045","SP-FIC1",6,8,0.666666666666667,26.6666666666667,3945,835,3110,0.006,0.00257234726688103,0.031936127744511
