"geneid","N","median","sd","se","ci","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000005",7,7.87385660768181,7.02267076753662,2.65432005576928,6.49488720119363,"SP-DNASE2L",69,371.666666666667,0,100.666666666667,284,284,0,69,0,0.354460093896714
"SPU_000020",8,5.70335932283764,4.66983480275952,1.6510359280261,3.90407959566152,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000102",11,0.205839911722265,0.68269375406263,0.205839911722265,0.458639904597802,"SP-SNRK",213.333333333333,348.666666666667,2.33333333333333,158,595,595,0,213.333333333333,0,0.265546218487395
"SPU_000103",5,16.881738955737,3.60974418799778,1.61432667714956,4.48208940096213,"SP-ACRV1L",51.3333333333333,66,65.3333333333333,58,401,401,0,51.3333333333333,0,0.144638403990025
"SPU_000178",6,4.14998500524815,6.57620969590095,2.68472636608344,6.90130883030799,"SP-PP2AB56E",99,2345,635,166,46828,4005,42823,99,0.0547602923662518,0.0414481897627965
"SPU_000191",7,1.70459463151962,2.42535620497815,0.916698479874227,2.24308037433082,"SP-CMPK",120.333333333333,500.333333333333,317,78.6666666666667,18546,2954,15592,120.333333333333,0.0320891055242004,0.0266305574362446
"SPU_000252",5,0,0,0,0,"SP-MED1",89.6666666666667,398.333333333333,0,611.666666666667,21482,9520,11962,89.6666666666667,0.0332998941091233,0.064250700280112
"SPU_000263",6,72.9659277504105,41.3314247370204,16.8734834913244,43.3746701667077,"SP-PNKDL",55.6666666666667,0,0,0,2497,293,2204,55.6666666666667,0,0
"SPU_000279",9,0.798968748034961,1.94748497898406,0.649161659661353,1.49696947159508,"SP-CYP17A1",58.6666666666667,0,0,0,2739,656,2083,58.6666666666667,0,0
"SPU_000313",8,98.4747979204501,2.39408927284598,0.846438379797682,2.0015087203485,"SP-VPS37HA",80,179.333333333333,0,130.333333333333,8924,1219,7705,80,0.0232749296993294,0.106918238993711
"SPU_000363",20,0.832217026595584,2.44024498499821,0.545655366820895,1.14206980817312,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000365",10,1.81749840445493,2.93683477380067,0.928708699679552,2.1008850371331,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000386",5,0,0,0,0,"SP-HOX2_1",17.3333333333333,73.3333333333333,73.3333333333333,36.6666666666667,1348,559,789,17.3333333333333,0.0929446556822983,0.0655933214072749
"SPU_000439",20,0.168912858273867,0.584761494491317,0.130756645230695,0.273676803741579,"SP-P58-A",131,1594.33333333333,839.666666666667,321,28702,2618,26084,131,0.0611230383887952,0.122612681436211
"SPU_000446",5,0,0,0,0,"SP-ADRM1L",75,28,0,5.33333333333333,2025,340,1685,75,0.0166172106824926,0.0156862745098039
