"geneid","mRNA_var","splice","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000003",1,FALSE,"SP-HYPP_1239",210.666666666667,783.666666666667,0,325.666666666667,5900,4044,1856,0.210666666666667,0.422234195402299,0.0805308275634685
"SPU_000008",1,FALSE,"SP-PLCXD3L",32.6666666666667,0,0,70.6666666666667,1423,961,462,0.0326666666666667,0,0.0735345126604232
"SPU_000011",1,FALSE,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000012",1,FALSE,"SP-AGMAT",4,124.333333333333,0,23.3333333333333,9195,1159,8036,0.004,0.0154720424755268,0.0201322979580098
"SPU_000024",1,FALSE,"SP-PSMC3L",27.3333333333333,26.6666666666667,0,6.66666666666667,5182,338,4844,0.0273333333333333,0.00550509221029452,0.019723865877712
"SPU_000028",1,FALSE,"SP-ST1B2L",126.333333333333,350.333333333333,0,100,6446,852,5594,0.126333333333333,0.0626266237635562,0.117370892018779
"SPU_000038",1,FALSE,"SP-SLC16A9L",48.3333333333333,0,0,0,2040,1035,1005,0.0483333333333333,0,0
"SPU_000042",1,FALSE,"SP-KRFP1",83,10.6666666666667,0,254,4586,1698,2888,0.083,0.00369344413665743,0.149587750294464
"SPU_000044",1,FALSE,"SP-LRPS5L",21.6666666666667,41,41,20.6666666666667,7728,2586,5142,0.0216666666666667,0.00797355114741346,0.0079917504511472
"SPU_000049",1,FALSE,"SP-TRYPL",33.6666666666667,603.666666666667,150.333333333333,151.666666666667,15493,2620,12873,0.0336666666666667,0.0468940158989099,0.0578880407124682
"SPU_000053",1,FALSE,"SP-EGF/HYALINL5",99.3333333333333,1304.66666666667,36.6666666666667,1392.33333333333,61794,16271,45523,0.0993333333333333,0.0286595054514568,0.0855714666174994
"SPU_000058",1,FALSE,"SP-GPR114",64.3333333333333,1342,0,9,3762,764,2998,0.0643333333333333,0.447631754503002,0.0117801047120419
"SPU_000063",1,FALSE,"SP-RDH8",34.3333333333333,13.6666666666667,0,21,5043,932,4111,0.0343333333333333,0.00332441417335604,0.0225321888412017
"SPU_000064",1,FALSE,"SP-MUS_ACHLRM3",31.3333333333333,118,18.3333333333333,49.3333333333333,4020,1060,2960,0.0313333333333333,0.0398648648648649,0.0465408805031447
"SPU_000070",1,FALSE,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,0.007,0.0244475501812805,0.0920604512558535
"SPU_000076",1,FALSE,"SP-GAT_2",31.3333333333333,397.666666666667,0,140,15518,3592,11926,0.0313333333333333,0.0333445133881156,0.0389755011135857
"SPU_000094",1,FALSE,"SP-HYPP_293",140.666666666667,627,627,0,100236,2189,98047,0.140666666666667,0.0063948922455557,0
"SPU_000105",2,TRUE,"SP-MAPKKK12/13",106.666666666667,132.666666666667,0,402.333333333333,9324,3179,6145,0.106666666666667,0.0215893680499051,0.126559714795009
"SPU_000107",1,FALSE,"SP-AGXT2L",0.666666666666667,0,0,3.66666666666667,2294,392,1902,0.000666666666666667,0,0.00935374149659864
"SPU_000111",1,FALSE,"SP-PFKFB4",1.33333333333333,13.3333333333333,0,2,9303,837,8466,0.00133333333333333,0.00157492715961887,0.002389486260454
"SPU_000115",1,FALSE,"SP-FBOX016L",14,0,0,0,263,263,0,0.014,0,0
"SPU_000122",1,FALSE,"SP-NMCP1L",85.6666666666667,3,0,30.3333333333333,3496,592,2904,0.0856666666666667,0.00103305785123967,0.0512387387387387
"SPU_000123",1,FALSE,"SP-SH3BP5L",47,0,0,0,7575,482,7093,0.047,0,0
"SPU_000136",1,FALSE,"SP-MEC-2L",152.666666666667,0,0,0,1503,1503,0,0.152666666666667,0,0
"SPU_000137",1,FALSE,"SP-DESTABILASEL",4,46.6666666666667,45.3333333333333,17.3333333333333,6425,417,6008,0.004,0.00776742121615624,0.0415667466027178
"SPU_000140",1,FALSE,"SP-SST5L",51.6666666666667,0,0,0,473,473,0,0.0516666666666667,0,0
"SPU_000152",3,TRUE,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000153",1,FALSE,"SP-ACHE_8",80.3333333333333,80,0,112,7489,1817,5672,0.0803333333333333,0.0141043723554302,0.0616400660429279
"SPU_000157",1,FALSE,"SP-DPL",18,41.3333333333333,2.66666666666667,445.333333333333,8836,7013,1823,0.018,0.0226732492228927,0.0635011169732402
"SPU_000164",1,FALSE,"SP-CLECT",128,0,0,0,761,761,0,0.128,0,0
