"geneid","CpG_count"
"SPU_000002",29
"SPU_000004",32
"SPU_000009",112
"SPU_000013",14
"SPU_000017",17
"SPU_000021",7
"SPU_000022",1
"SPU_000023",3
"SPU_000025",6
"SPU_000028",12
"SPU_000038",3
"SPU_000041",26
"SPU_000043",4
"SPU_000047",32
"SPU_000048",3
"SPU_000049",24
"SPU_000050",12
"SPU_000051",5
"SPU_000057",7
"SPU_000059",3
"SPU_000061",4
"SPU_000064",8
"SPU_000067",1
"SPU_000068",36
"SPU_000069",35
"SPU_000070",33
"SPU_000074",2
"SPU_000075",5
"SPU_000076",10
"SPU_000081",2
"SPU_000083",11
"SPU_000084",39
"SPU_000091",4
"SPU_000094",17
"SPU_000098",9
"SPU_000100",2
"SPU_000116",25
"SPU_000117",1
"SPU_000120",5
"SPU_000124",4
"SPU_000125",3
"SPU_000128",27
"SPU_000142",1
"SPU_000146",2
"SPU_000150",1
"SPU_000152",19
"SPU_000157",2
"SPU_000158",1
"SPU_000162",1
"SPU_000163",2
"SPU_000166",1
"SPU_000173",97
"SPU_000174",85
"SPU_000175",10
"SPU_000176",1
"SPU_000177",4
"SPU_000195",11
"SPU_000208",16
"SPU_000216",7
"SPU_000218",24
"SPU_000225",3
"SPU_000231",2
"SPU_000236",8
"SPU_000241",19
"SPU_000244",4
"SPU_000255",8
"SPU_000258",2
"SPU_000260",2
"SPU_000261",12
"SPU_000269",7
"SPU_000271",3
"SPU_000282",2
"SPU_000284",2
"SPU_000296",3
"SPU_000297",3
"SPU_000298",7
"SPU_000308",22
"SPU_000310",1
"SPU_000313",9
"SPU_000316",3
"SPU_000323",7
"SPU_000324",14
"SPU_000330",50
"SPU_000334",4
"SPU_000337",2
"SPU_000343",34
"SPU_000346",3
"SPU_000356",3
"SPU_000357",20
"SPU_000362",1
"SPU_000364",12
"SPU_000371",8
"SPU_000372",8
"SPU_000387",4
"SPU_000388",74
"SPU_000393",9
"SPU_000394",45
"SPU_000396",6
"SPU_000402",10
"SPU_000417",5
"SPU_000418",1
"SPU_000419",18
"SPU_000426",23
"SPU_000435",4
"SPU_000436",22
"SPU_000439",1
"SPU_000441",5
"SPU_000442",9
"SPU_000447",40
"SPU_000452",23
"SPU_000453",2
"SPU_000458",1
"SPU_000459",3
"SPU_000463",19
"SPU_000468",5
"SPU_000471",1
"SPU_000476",23
"SPU_000482",5
"SPU_000485",8
"SPU_000487",51
"SPU_000490",4
"SPU_000491",5
"SPU_000494",15
"SPU_000499",4
"SPU_000500",3
"SPU_000509",41
"SPU_000510",10
"SPU_000514",10
"SPU_000518",10
"SPU_000525",2
"SPU_000526",26
"SPU_000527",1
"SPU_000529",8
"SPU_000534",2
"SPU_000535",10
"SPU_000538",2
"SPU_000541",149
"SPU_000542",7
"SPU_000544",36
"SPU_000545",279
"SPU_000547",1
"SPU_000548",1
"SPU_000555",170
"SPU_000559",7
"SPU_000563",3
"SPU_000565",1
"SPU_000573",6
"SPU_000580",26
"SPU_000582",3
"SPU_000583",14
"SPU_000584",4
"SPU_000585",4
"SPU_000587",7
"SPU_000588",3
"SPU_000590",10
"SPU_000593",1
"SPU_000614",2
"SPU_000620",7
"SPU_000621",27
