"geneid","N","median","sd","se","ci","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000002",29,0.180560138590992,0.747196748745167,0.138750952943028,0.284218442939393,"SP-CUB/LDLA/GPCR",52.3333333333333,455.333333333333,164.333333333333,87.3333333333333,23362,1940,21422,52.3333333333333,0.0212554072137678,0.0450171821305842
"SPU_000004",44,1.03529527090833,2.39882264524958,0.361636120586395,0.729308743345595,"SP-HYPP_1240",12.3333333333333,863.666666666667,0,23,25072,1610,23462,12.3333333333333,0.0368112977012474,0.0142857142857143
"SPU_000013",5,93.5472972972973,11.0704269718844,4.95084544981615,13.7457506157328,"SP-DNAH1_1",66,121,0,190,30639,7228,23411,66,0.00516851052923839,0.0262866629773105
"SPU_000021",7,90.9943196599141,5.40007805550789,2.04103765645873,4.99423923022203,"SP-HSCBL",117,205.666666666667,0,41.6666666666667,8238,573,7665,117,0.0268319199826049,0.072716695753345
"SPU_000028",12,0,0,0,0,"SP-ST1B2L",126.333333333333,350.333333333333,0,100,6446,852,5594,126.333333333333,0.0626266237635562,0.117370892018779
"SPU_000031",21,0.733441334373011,1.66283265671452,0.362859834163753,0.756912350546543,"SP-CLECT/PAN/KRINGLE",39,744.666666666667,0,164.333333333333,16643,2001,14642,39,0.0508582616218185,0.0821256038647343
"SPU_000041",44,4.24085110317743,4.49241732164868,0.677257393527365,1.36581970239601,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000047",29,0.927192933140579,1.87191517933803,0.347605922265933,0.712038453699859,"SP-EGFL",62.3333333333333,1249.66666666667,1249.66666666667,0,46710,1136,45574,62.3333333333333,0.0274206053158965,0
"SPU_000049",24,2.72006040007971,6.17111693725988,1.25967396994447,2.6058341445724,"SP-TRYPL",33.6666666666667,603.666666666667,150.333333333333,151.666666666667,15493,2620,12873,33.6666666666667,0.0468940158989099,0.0578880407124682
"SPU_000050",12,0.676406926406927,2.3431423262566,0.676406926406927,1.48876160720484,"SP-UNC44L",45.3333333333333,211.333333333333,145.666666666667,88.6666666666667,17530,3047,14483,45.3333333333333,0.0145918202950586,0.0290996608686139
"SPU_000051",5,2.53805008360702,3.2515158663788,1.45412210142843,4.03729019087088,"SP-SRCR",13,356,226.666666666667,118,61256,2328,58928,13,0.00604127070323106,0.0506872852233677
"SPU_000053",26,3.6150146811969,8.0022581175541,1.56937193439287,3.23218200249113,"SP-EGF/HYALINL5",99.3333333333333,1304.66666666667,36.6666666666667,1392.33333333333,61794,16271,45523,99.3333333333333,0.0286595054514568,0.0855714666174994
"SPU_000057",7,2.62574726860441,3.39303721188037,1.28244752168906,3.13803603929246,"SP-IGCAM/IGCAM/IGCAM",31.6666666666667,463,0,0,20032,1428,18604,31.6666666666667,0.0248871210492367,0
"SPU_000064",8,1.57737744751676,2.96853531668729,1.04953572631067,2.48175763134725,"SP-MUS_ACHLRM3",31.3333333333333,118,18.3333333333333,49.3333333333333,4020,1060,2960,31.3333333333333,0.0398648648648649,0.0465408805031447
"SPU_000070",8,0,0,0,0,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_000075",5,52.9101578211574,3.33691716421468,1.49231472289397,4.14332990779356,"SP-METHIAPD2L",108,221.666666666667,0,18.3333333333333,16577,4421,12156,108,0.0182351650762312,0.00414687476438212
"SPU_000076",10,2.06787031923524,4.37976143688224,1.38500217487197,3.13309259037771,"SP-GAT_2",31.3333333333333,397.666666666667,0,140,15518,3592,11926,31.3333333333333,0.0333445133881156,0.0389755011135857
"SPU_000085",6,1.00198849088826,2.09886897642665,0.856859671533817,2.20262790733413,"SP-PRRPRL",104,365.333333333333,163,194.333333333333,10737,624,10113,104,0.0361251194831735,0.311431623931624
"SPU_000092",9,0.935192892835206,2.2833260057615,0.761108668587167,1.75511973710174,"SP-KCNH1",100.666666666667,1367,753.666666666667,469,14003,2660,11343,100.666666666667,0.120514854976638,0.176315789473684
"SPU_000094",17,12.0160087704707,33.1274322050435,8.03458247569898,17.0325539672645,"SP-HYPP_293",140.666666666667,627,627,0,100236,2189,98047,140.666666666667,0.0063948922455557,0
"SPU_000098",11,27.965952965953,46.319659116879,13.9659027007139,31.1179704105206,"SP-CLASP2",48.6666666666667,1150.33333333333,1150.33333333333,374.666666666667,36090,3133,32957,48.6666666666667,0.0349040669154757,0.119587190126609
"SPU_000105",6,100,0,0,0,"SP-MAPKKK12/13",106.666666666667,132.666666666667,0,402.333333333333,9324,3179,6145,106.666666666667,0.0215893680499051,0.126559714795009
"SPU_000110",5,100,0,0,0,"SP-CBPSL",91.6666666666667,126.666666666667,0,17.6666666666667,1179,500,679,91.6666666666667,0.186548846342661,0.0353333333333333
"SPU_000116",33,0.941526332152989,2.58549189277237,0.450076368186275,0.91677556146205,"SP-GUCY1A3",92,3399.66666666667,0,191.333333333333,42050,1042,41008,92,0.0829025230849265,0.183621241202815
"SPU_000124",7,1.90403232581479,2.77304560750313,1.04811272167047,2.56463943999129,NA,0,0,0,0,0,0,0,0,0,0
"SPU_000135",5,45.7415371809101,8.99333912829916,4.02194352711712,11.1667054192463,"SP-ZF(MYND)_13L",58,20.3333333333333,0,72.3333333333333,26714,4154,22560,58,0.000901300236406619,0.0174129353233831
"SPU_000174",5,0,0,0,0,"SP-SLC30A3_1",108.333333333333,316,0,88.3333333333333,12553,3990,8563,108.333333333333,0.0369029545719958,0.0221386800334169
"SPU_000176",5,1.81514533401326,4.05878835589521,1.81514533401326,5.03965137784372,"SP-REELER/EGF/FOLN",93,386.333333333333,196.333333333333,183,24448,3430,21018,93,0.0183810701938021,0.0533527696793003
"SPU_000177",10,0.798319327731092,2.52450737576467,0.798319327731092,1.80592378542714,"SP-PCSK9L",86.6666666666667,1361.33333333333,0,245,17094,1677,15417,86.6666666666667,0.0883007934963568,0.146094215861658
