"geneid","N","median","sd","se","ci","GE_logFC","GE_logCPM","common_name","peak_density_TSS","peak_density_Introns","peak_density_Intron1","peak_density_Exons","gene_len","exon_len","intron_len","TSS_dens_norm","intron_dens_norm","exon_dens_norm"
"SPU_000013",5,93.5472972972973,11.0704269718844,4.95084544981615,13.7457506157328,0.0258679705372168,7.81300736017685,"SP-DNAH1_1",66,121,0,190,30639,7228,23411,66,0.00516851052923839,0.0262866629773105
"SPU_000047",29,0.927192933140579,1.87191517933803,0.347605922265933,0.712038453699859,-0.242356634729347,1.70365511073288,"SP-EGFL",62.3333333333333,1249.66666666667,1249.66666666667,0,46710,1136,45574,62.3333333333333,0.0274206053158965,0
"SPU_000049",24,2.72006040007971,6.17111693725988,1.25967396994447,2.6058341445724,0.206790658869213,4.18757492838998,"SP-TRYPL",33.6666666666667,603.666666666667,150.333333333333,151.666666666667,15493,2620,12873,33.6666666666667,0.0468940158989099,0.0578880407124682
"SPU_000053",26,3.6150146811969,8.0022581175541,1.56937193439287,3.23218200249113,-0.091741845346829,12.4192720038514,"SP-EGF/HYALINL5",99.3333333333333,1304.66666666667,36.6666666666667,1392.33333333333,61794,16271,45523,99.3333333333333,0.0286595054514568,0.0855714666174994
"SPU_000070",8,0,0,0,0,0.458597382345679,1.56179889902642,"SP-MUCL",7,402.333333333333,112.333333333333,288.333333333333,19589,3132,16457,7,0.0244475501812805,0.0920604512558535
"SPU_000075",5,52.9101578211574,3.33691716421468,1.49231472289397,4.14332990779356,0.217239498681435,7.21564832447634,"SP-METHIAPD2L",108,221.666666666667,0,18.3333333333333,16577,4421,12156,108,0.0182351650762312,0.00414687476438212
"SPU_000076",10,2.06787031923524,4.37976143688224,1.38500217487197,3.13309259037771,0.497974777548785,5.4439051266323,"SP-GAT_2",31.3333333333333,397.666666666667,0,140,15518,3592,11926,31.3333333333333,0.0333445133881156,0.0389755011135857
"SPU_000092",9,0.935192892835206,2.2833260057615,0.761108668587167,1.75511973710174,-3.70410908080903,3.33011207672692,"SP-KCNH1",100.666666666667,1367,753.666666666667,469,14003,2660,11343,100.666666666667,0.120514854976638,0.176315789473684
"SPU_000094",17,12.0160087704707,33.1274322050435,8.03458247569898,17.0325539672645,0.0662198368104182,4.65973231898708,"SP-HYPP_293",140.666666666667,627,627,0,100236,2189,98047,140.666666666667,0.0063948922455557,0
"SPU_000098",11,27.965952965953,46.319659116879,13.9659027007139,31.1179704105206,0.00792702147158908,6.54763761037104,"SP-CLASP2",48.6666666666667,1150.33333333333,1150.33333333333,374.666666666667,36090,3133,32957,48.6666666666667,0.0349040669154757,0.119587190126609
"SPU_000105",6,100,0,0,0,-0.116065801065183,5.16124548722023,"SP-MAPKKK12/13",106.666666666667,132.666666666667,0,402.333333333333,9324,3179,6145,106.666666666667,0.0215893680499051,0.126559714795009
"SPU_000135",5,45.7415371809101,8.99333912829916,4.02194352711712,11.1667054192463,-0.0199918842013942,5.37530919230473,"SP-ZF(MYND)_13L",58,20.3333333333333,0,72.3333333333333,26714,4154,22560,58,0.000901300236406619,0.0174129353233831
"SPU_000174",5,0,0,0,0,0.181149924424349,7.70485182678668,"SP-SLC30A3_1",108.333333333333,316,0,88.3333333333333,12553,3990,8563,108.333333333333,0.0369029545719958,0.0221386800334169
"SPU_000176",5,1.81514533401326,4.05878835589521,1.81514533401326,5.03965137784372,-0.397420528908126,6.18143416654178,"SP-REELER/EGF/FOLN",93,386.333333333333,196.333333333333,183,24448,3430,21018,93,0.0183810701938021,0.0533527696793003
